date,username,tweet
2022-10-24 11:34:08+00:00,Dellavanilaura,pemberian BLT oleh pemerintah yg berdampak thdp perputaran roda perekonomian https://t.co/FvWnTUg0n8
2022-10-24 11:31:34+00:00,Dellavanilaura,pemberian BLT oleh pemerintah yg berdampak thdp perputaran roda perekonomian https://t.co/eDRxfSJgk9
2022-10-24 11:31:34+00:00,kriazzeaserrano,Penyaluran BLT BBM hampir 100 persen ~ DKI Jakarta #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat… https://t.co/TXkQo3j0id
2022-10-24 11:31:26+00:00,kriazzeaserrano,Masyarakat apresiasi BLT untuk rakyat ~ DKI Jakarta #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat… https://t.co/ib3zyqUdf9
2022-10-24 11:31:02+00:00,kriazzeaserrano,"Alhamdulillah BLT cair lagi 

-DKI Jakarta- 

#BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat… https://t.co/ijZXptunNK"
2022-10-24 11:30:34+00:00,kriazzeaserrano,Mendukung program pemerintah percepat penyaluran BLT di wilayah DKI Jakarta &amp; sekitarnya #BLTBBMBantuMasyarakat… https://t.co/gMPdiypvoC
2022-10-24 11:30:04+00:00,RMOLJatim_id,"Tangani Dampak Inflasi, Pemkot Surabaya Gelontorkan Rp8,9 Miliar BLT BBM kepada Pengemudi: Pemerintah Kota (Pemkot)… https://t.co/6KVreDuJ5C"
2022-10-24 11:29:59+00:00,kriazzeaserrano,"Mantap, BLT cair, semoga bermanfaat untuk para warga DKI Jakarta #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat… https://t.co/F6dXnmqr0c"
2022-10-24 11:28:55+00:00,Dewilesta7,Mari kita Dukung dan kawal penyaluran BLT di Wilayah DKI Jakarta yang tepat sasaran #BLTBBMBantuMasyarakat… https://t.co/57lNuPb88y
2022-10-24 11:28:29+00:00,Dewilesta7,"Asyik BLT cair, untuk kita dan para abang/mpok ojol bulan Oktober ~ DKI Jakarta #BLTBBMBantuMasyarakat… https://t.co/QLfxQjk4Cg"
2022-10-24 11:27:57+00:00,Dewilesta7,Masyarakat sangatlah mengapresiasi BLT untuk rakyat di Wilayah DKI Jakarta yang tepat sasaran… https://t.co/LAAsF9DY1f
2022-10-24 11:27:15+00:00,Dewilesta7,Mendukung Pembagian BLT tepat sasaran ~ DKI Jakarta #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat… https://t.co/DAvTyB7Ega
2022-10-24 11:27:00+00:00,Dellavanilaura,pemberian BLT oleh pemerintah yg berdampak thdp perputaran roda perekonomian https://t.co/KCki0mXdA3
2022-10-24 11:26:47+00:00,Dewilesta7,Pembagian BLT mudah dan tepat sasaran ~ DKI Jakarta #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat… https://t.co/hOyU3EsDb2
2022-10-24 11:25:26+00:00,Dellavanilaura,pemberian BLT oleh pemerintah yg berdampak thdp perputaran roda perekonomian https://t.co/AaJkP0yPH6
